HASC_1,gini
Austria,0.9897543410732321
Belgium,0.99082760816371
Bulgaria,0.9898509152473942
Switzerlan,0.9843362526547524
Cyprus,0.9859434401287752
Czechia,0.9917603311715303
Germany,0.9907387213710531
Denmark,0.986321390318356
Spain,0.9903906911611557
Estonia,0.9756225403149923
Finland,0.9891941099074381
France,0.9971641122905257
United Kin,0.9760460286681287
Greece,0.9766442888215476
Croatia,0.9930958721948706
Hungary,0.991199478323077
Ireland,0.9897250471250066
Iceland,0.9907199861639637
Italy,0.9932780255933842
Liechtenst,0.9714294373989105
Lithuania,0.9929519450223004
Luxembourg,0.9815562218427658
Latvia,0.9920848369598388
Malta,
Netherland,0.9932875337720919
Norway,0.9968238578567022
Poland,0.9941375122118845
Portugal,0.9921414807661256
Romania,0.9957904722673673
Slovakia,0.9919298224978976
Slovenia,0.9769362634979188
Sweden,0.9765507499008027
